상호,영업표지,대표자,등록번호,최초등록일,업종
(주)지니어스,조선우탕,유병언,20213479,2021.10.28,한식
(주)지니어스,더리얼닭,유병언,20213481,2021.10.28,치킨
(주)지니어스,이태리면집,유병언,20213480,2021.10.28,서양식
(주)지니어스,이태리부대찌개,유병언,20161188,2016.12.07,한식
"WyndhamHotelAsiaPacificCo.,Limited",윈덤 알트라,Eng San QUEK,20231019,2023.07.14,숙박
(주)떡파는사람들,떡보의하루,성우진,20080600029,2008.09.25,기타도소매
또오리,또오리,"이해찬, 이육재",20220110,2022.02.09,한식
(주)지에스이푸드,갈비창고,"박정화, 이재만",20231017,2023.07.13,한식
김미화코다리,김미화코다리,이재순,20231015,2023.07.13,한식
설가옥,설가옥,"천성우, 박연구",20231014,2023.07.13,한식
니하오마라탕,니하오마라탕,이철봉,20231016,2023.07.13,중식
(주)백삶,미미족,김기봉,20214870,2021.11.15,한식
(주)백삶,스탠딩스테이크,김기봉,20160737,2016.08.01,서양식
(주)백삶,미스터보쌈5379,김기봉,20120100570,2012.10.22,한식
(주)고려식품,치킨스톰,권동주,20221011,2022.09.30,치킨
(주)고려식품,깨비뚝닭,권동주,20221012,2022.09.30,치킨
미르fnc,두둠치밥,이승민,20201140,2020.09.08,한식
㈜고더컴퍼니,고더커피,심재용,202126,2022.12.06,커피
(주)애영,응응스크르,신득기,20212242,2021.09.24,편의점
(주)최배달,엠버스커피(Embers coffee),최석원,20212837,2021.10.19,커피
가유카페,가유카페,장혜영,20201064,2020.08.20,음료 (커피 외)
케이케이푸드시스템,오늘은 뼈다귀,김남균,20211641,2021.07.20,한식
(주)어디로드,모노치즈,이달원,20200691,2020.06.08,기타 외식
(주)교육을품다,교육을품다,최상범,20210641,2021.03.08,기타 교육
반자주,반자주,정원식,20220289,2022.04.04,기타도소매
(주)브라우니웍스,브라우니70,조한흥,20130100333,2013.04.26,기타 외식
(주)자성화,명태대감 코다리마님,김영배,20210605,2021.02.08,한식
(주)자성화,거진어부네 코다리,김영배,20210606,2021.02.08,한식
(주)자성화,자성화 맛집 코다리네,김영배,20171515,2017.12.18,한식
(주)토들리에(Toddlier),appleberry English,윤재원,20211134,2021.05.10,기타 교육
보리네협동조합,보리네 엠플러스,하수부,20201335,2020.10.12,기타도소매
보리네협동조합,보리네생고깃간,하수부,20080200277,2008.12.02,기타 외식
(주)조인푸드,미식가의우동,양지혁,20191273,2019.11.28,분식
(주)아라에프엠,반반식당,장상균,20161138,2016.11.04,한식
(주)태인에프앤비,대식가2900,양지혁,20200545,2020.04.23,한식
(주)태인에프앤비,계돼지돌구이,양지혁,20230197,2023.02.08,한식
(주)태인에프앤비,미식가의구이,양지혁,20180145,2018.02.14,한식
(주)갑원에프에스,정동뚝배기,문명환,20170755,2017.06.23,분식
(주)갑원에프에스,면앤면추억의가락국수,문명환,20170756,2017.06.23,분식
가유카페,와유,장혜영,20210946,2021.03.31,기타 외식
에이치엔케이푸드(주),길세이로무시,"박건욱, 김종근",20200234,2020.02.20,한식
(주)더블유스타일,WSTYLE DONUTS,우경수,20210648,2021.03.09,제과제빵
(주)더블유스타일,WSTYLE BAGLE,우경수,20210649,2021.03.09,제과제빵
(주)더블유스타일,WSTYLE BAKERY CAFE,우경수,20210650,2021.03.09,제과제빵
(주)영성에프앤비,핫게이트99치킨,한무진,20200916,2020.07.23,치킨
(주)동산만두,동산만두,김중문,20180033,2018.01.16,분식
(주)맛깔,요리요리,이상화,20211696,2021.07.29,한식
(주)맛깔,완도미소,이상화,20211697,2021.07.29,한식
(주)맛깔,옛날고깃집,이상화,20213699,2021.11.01,기타 외식
젤라또로플,젤라또로플,전영하,20214716,2021.11.12,아이스크림/빙수
더굿프랜드(주),김경오 파티쓰리,김경오,20213309,2021.10.26,제과제빵
더굿프랜드(주),따순기미,김경오,20213310,2021.10.26,제과제빵
에이플룸,에이플룸(AFLROOM),김혜애,20231012,2023.07.12,이미용
(주)앤모빌리티,나비콜,서동성,20190879,2019.08.23,기타 서비스
오또도넛,오또도넛,이공주,20231013,2023.07.12,커피
코란라멘,코란라멘,YIN JINGDUO,20230598,2023.04.24,기타 외식
(주)디에이치엠,미쿡비빔밥,임민수,20214649,2021.11.11,한식
(주)에스이블랜딩,트리굿커피,"조준우, 박재현",20211623,2021.07.22,기타 외식
(주)플랜펙트,폴라 스튜디오,"김상윤, 장현수",20214168,2021.11.05,기타 서비스
(주)베이콜로지에프엔비,베이콜로지 빵학개론,김능선,20220463,2022.05.30,제과제빵
(주)디앤디컴퍼니대구경북,아이씨카페,최제우,20211952,2021.08.25,커피
(주)에스에이치,백만장자의 막걸리,이성화,20215578,2021.11.17,한식
(주)에스에이치,황남비빔밥,이성화,20215581,2021.11.17,한식
(주)에스에이치,백설공주,이성화,20215575,2021.11.17,한식
㈜달봉엔터프라이즈,꼬지와 달봉이,양종훈,20213845,2021.11.02,기타 외식
㈜달봉엔터프라이즈,달봉치킨,양종훈,20160333,2016.04.15,치킨
문지현쭈꾸미볶음전문점,문지현쭈꾸미볶음,문지현,20230044,2023.01.11,기타 외식
(주)에쓰와이프랜차이즈,칸칸두마리치킨,김성윤,20213747,2021.11.02,치킨
언더스탠딩(UNDERSTANDING),언더스탠딩,정해성,20230028,2023.01.09,커피
(주)데일리비어,생활커피,임상진,20190029,2019.01.14,커피
(주)데일리비어,생활치킨,임상진,20190054,2019.01.16,치킨
(주)데일리비어,생활맥주,임상진,20141063,2014.10.31,주점
송가육회아산본점,송가육회,이기범,20211287,2021.06.01,한식
(주)하나유통,천안당 호두과자,유하늘,20220823,2022.08.12,제과제빵
토리아트미술연구소,토리아트 미술,"이미주, 김미경",20221013,2022.09.30,기타 교육
(주)보다더,어나더닭,오정열,20214253,2021.11.08,한식
(주)더샘인터내셔날,더샘,"이용준,임진서",20100100368,2010.07.29,화장품
(주)한스제과,한스(HANS),안주태 외 2인,20120100672,2012.12.10,제과제빵
성우,홍구등갈비,정원범,20141227,2014.12.19,한식
(주)9라파컴퍼니,9라파 부대찌개,박진일,20200123,2020.01.21,한식
겸손돈가스,겸손돈가스,김대겸,20220784,2022.08.05,일식
엔에프시디사일오,변사또,박하란,20120400042,2012.09.28,주점
밥보야뚠뚠이김밥,뚠뚠이김밥,조경옥,20220304,2022.04.12,한식
애플몽키,애플몽키,김정호,20180767,2018.08.03,기타도소매
(주)정성컴퍼니,정성카츠,금교헌,20220334,2022.04.25,기타 외식
(주)리민,마삼구 김치삼겹살,민순욱,20230324,2023.02.28,한식
(주)밀화당,밀화당,조민재,20231003,2023.07.11,커피
천하푸드,썸타는 쭈꾸미,임정규,20221189,2022.11.08,한식
글래드투미츄가맹본부,글래드 투 미츄,편태원,20220319,2022.04.20,패스트푸드
경동집국물두루치기,경동집국물두루치기,엄다현,20231004,2023.07.11,한식
번쩍피자,번쩍피자,김세아,20230725,2023.05.22,피자
(주)힐리스쿨,애드힐컬리지잇,박혜란,20231001,2023.07.11,교육 (외국어)
예인Competition,예술인재음악콩쿠르(YEIN COMPETITION),주현규,20231008,2023.07.11,기타 서비스
(주)피슈애프앤씨,피슈 마라홍탕,"김정현 , 최준용",20180037,2018.01.18,중식
맛쿵,맛쿵 감자탕,문정숙,20231007,2023.07.11,한식
